# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	6	12	1	E	3.6978468e-02	1.2239053e+02	1.4995270e+02	-1.0000023e-02
0	0	6	12	2	T	7.1757846e-02	1.3166257e+02	1.6727431e+02	-1.0000002e-02
0	0	6	12	2	E	3.6658034e-02	1.2183149e+02	1.4920465e+02	-1.0000013e-02
0	0	6	12	3	T	7.1200900e-02	1.2851320e+02	1.6703986e+02	-1.0000055e-02
0	0	6	12	3	E	5.4564223e-02	1.2356223e+02	1.4992165e+02	-1.0000006e-02
0	0	6	13	0	T	7.7218585e-02	1.4034218e+02	1.6267232e+02	-1.0000467e-02
0	0	6	13	0	E	5.2649245e-02	1.1930550e+02	1.5757314e+02	-1.0000003e-02
0	0	6	13	1	T	7.2276644e-02	1.2884645e+02	1.6156607e+02	-1.0000038e-02
0	0	6	13	1	E	3.7306532e-02	1.1544694e+02	1.5666336e+02	-1.0000006e-02
0	0	6	13	2	T	7.4464373e-02	1.2707854e+02	1.6213719e+02	-9.9999998e-03
0	0	6	13	2	E	5.2389845e-02	1.1849472e+02	1.5668480e+02	-1.0000001e-02
0	0	6	13	3	T	7.8242831e-02	1.2728905e+02	1.6283290e+02	-1.0000077e-02
0	0	6	13	3	E	6.1194167e-02	1.2149225e+02	1.5703706e+02	-1.0000037e-02
0	0	6	14	0	T	7.1725421e-02	1.3264362e+02	1.5367986e+02	-1.0000123e-02
0	0	6	14	0	E	5.1054701e-02	1.2577879e+02	1.5685638e+02	-1.0000002e-02
0	0	6	14	1	T	6.8797641e-02	1.2258244e+02	1.5288695e+02	-1.0000007e-02
0	0	6	14	1	E	6.1041579e-02	1.2867110e+02	1.5548969e+02	-1.0000027e-02
0	0	6	14	2	T	6.2455706e-02	1.2120906e+02	1.5354192e+02	-1.0000002e-02
0	0	6	14	2	E	6.0919508e-02	1.2644752e+02	1.5583148e+02	-1.0000027e-02
0	0	6	14	3	T	7.0199542e-02	1.2403148e+02	1.5306137e+02	-1.0000198e-02
0	0	6	14	3	E	4.9887404e-02	1.2601463e+02	1.5567307e+02	-1.0000335e-02
0	0	6	15	0	T	7.0186190e-02	1.3093826e+02	1.6524924e+02	-1.0000176e-02
0	0	6	15	0	E	5.5380568e-02	1.2740820e+02	1.6229260e+02	-1.0000195e-02
0	0	6	15	1	T	7.1446948e-02	1.2444635e+02	1.6455907e+02	-1.0000009e-02
0	0	6	15	1	E	5.5090651e-02	1.3052917e+02	1.6095934e+02	-1.0000172e-02
0	0	6	15	2	T	5.7364993e-02	1.1908215e+02	1.6409116e+02	-1.0000086e-02
0	0	6	15	2	E	5.4869398e-02	1.2976689e+02	1.6164536e+02	-1.0001929e-02
0	0	6	15	3	T	6.0636096e-02	1.2091001e+02	1.6463097e+02	-1.0000001e-02
0	0	6	15	3	E	5.4877028e-02	1.2883832e+02	1.6138585e+02	-9.9999998e-03
