# portID	slaveID	chipID	channelID	baseline_T	baseline_E	zero_T1	zero_T2	zero_E	noise_T1	noise_T2	noise_E
0	0	7	9	48	7	53.05911457568607	61.0	61.000000010013025	0.4149289311231439	0.05106661406537371	0.08683323066734203
0	0	7	10	53	5	53.5404397064038	60.30309574608079	59.22205871486353	0.40056387856207837	0.1525376499314109	0.050585207263509846
0	0	7	11	50	5	47.70989537234709	60.45100931609528	59.088690051660684	0.46769437780115686	0.06510625414629001	0.05493987632335659
0	0	7	12	46	5	44.417797021776245	61.270469762860415	59.23160447126415	0.09552830868369343	0.05282842047378831	0.05032437228180385
0	0	7	13	47	5	51.903251178489526	61.0	59.506686945315685	0.4329027961575167	0.05480681713811651	0.14129273681918697
0	0	7	14	53	7	54.55468063718102	60.42181427391012	61.00229185512795	0.4405396551744984	0.05120132672977155	0.09196397707202605
0	0	7	15	45	5	51.03051727238565	60.566709110426885	59.21237705280084	0.4577681776504544	0.061132658294050825	0.05055683565942858
0	0	7	16	48	7	50.26770429450742	60.36599535537937	61.083985020733934	0.5719606813795038	0.11387028243677384	0.05000760839494246
0	0	7	17	45	5	47.071085534540366	61.25459756508313	59.23111443086451	0.560807262722393	0.07325940688986633	0.05002186545921173
0	0	7	18	47	5	48.07680420351282	60.5973982426993	59.06161525024958	0.6694845207688678	0.18347657043549204	0.0608116362395979
0	0	7	19	46	6	49.50696747009664	60.063479034006704	61.06906330525777	0.05000034381096731	0.05582379968708982	0.05000012708914769
0	0	7	20	49	6	48.52699227773456	60.382381218907895	61.23312606313123	0.5517643594123929	0.12545851784651546	0.05016410388339271
0	0	7	21	47	6	54.47936108062036	60.34286457708553	61.193275264823434	0.4626640603756848	0.1641238646614302	0.05903690538021373
0	0	7	22	48	6	48.35886418720438	60.50925677903897	61.21152383743598	0.4695434862035743	0.13994827391405312	0.054638519636956887
0	0	7	23	48	5	47.145757756331896	60.689606794239175	59.30730327990912	0.4402983231441185	0.15313379118619974	0.052793490047669714
0	0	7	24	50	5	48.78581321968645	60.42260005589376	59.23544848269723	0.5850707443496389	0.055153098438520044	0.05259638981195831
0	0	7	25	48	5	47.51694081766404	61.0	59.22839838058225	0.6938678675893756	0.050740035225653526	0.10314745997169127
0	0	7	26	49	6	48.23021343486175	60.33011967094049	61.07932189921586	0.5241306004312695	0.15834689173439548	0.05345398339568458
0	0	7	27	49	7	48.66531220583604	61.0	61.07095384384931	0.4580889750000212	0.05611784889653656	0.08288259088483206
